Pontos,Lat,Long,Pequenos,Médios,Grandes,Cones,Data,anotador
317,-27.6202744444444,-48.5167394444445,0,4,2,2,2023-11-09,Cure
318,-27.6202761111111,-48.5167369444444,0,1,2,2,2023-11-09,Cure
319,-27.6166736111111,-48.5167291666667,0,1,3,2,2023-11-09,Cure
320,-27.6166766666667,-48.5167297222222,0,0,5,0,2023-11-09,Cure
321,-27.6166761111111,-48.5167327777778,1,0,1,1,2023-11-09,Cure
322,-27.6166844444444,-48.5167413888889,0,0,6,6,2023-11-09,Cure
323,-27.6166858333333,-48.5167447222222,0,0,4,4,2023-11-09,Cure
324,-27.6166866666667,-48.5167447222222,0,1,8,8,2023-11-09,Cure
325,-27.6166863888889,-48.5167425,1,0,6,6,2023-11-09,Cure
326,-27.6166725,-48.5167380555556,0,0,3,1,2023-11-22,Cure
327,-27.6166880555556,-48.5167405555556,0,0,8,4,2023-11-22,Cure
328,-27.6166897222222,-48.5167441666667,3,0,7,3,2023-11-22,Cure
329,-27.6166891666667,-48.5167463888889,0,0,25,20,2023-11-22,Cure
330,-27.6166916666667,-48.5167419444444,1,1,7,3,2023-11-22,Cure
331,-27.6166897222222,-48.5167422222222,1,4,8,4,2023-11-22,Cure
332,-27.6166916666667,-48.5167422222222,0,2,4,2,2023-11-22,Cure
333,-27.6166908333333,-48.5167436111111,1,0,14,7,2023-11-22,Cure
334,-27.6166916666667,-48.5167425,1,0,9,4,2023-11-22,Cure
335,-27.6166925,-48.5167438888889,0,0,13,6,2023-11-22,Cure
336,-27.6166925,-48.5167422222222,0,0,10,5,2023-11-22,Cure
337,-27.6166938888889,-48.5167416666667,0,4,5,2,2023-11-22,Cure
338,-27.6166838888889,-48.5167380555556,4,0,32,15,2023-11-24,Cure
339,-27.6166894444444,-48.5167386111111,1,1,10,9,2023-11-24,Cure
340,-27.6166905555556,-48.5167394444445,1,0,7,6,2023-11-24,Cure
341,-27.6166919444444,-48.5167430555556,0,0,5,5,2023-11-24,Cure
342,-27.6166894444444,-48.5167325,1,0,10,4,2023-11-24,Cure
343,-27.6166869444444,-48.5167327777778,0,3,7,7,2023-11-24,Cure
344,-27.6166869444444,-48.5167327777778,3,7,30,18,2023-11-24,Cure
345,-27.6166913888889,-48.5167394444445,1,0,11,11,2023-11-24,Cure
346,-27.616695,-48.5167394444445,0,0,15,13,2023-11-24,Cure
347,-27.6166930555556,-48.5167386111111,0,8,32,19,2023-11-24,Cure
348,-27.6166963888889,-48.5167355555556,0,0,10,9,2023-11-24,Cure
349,-27.6235175,-48.5167683333333,0,0,11,11,2023-11-24,Cure
350,-27.6166988888889,-48.5167333333333,0,2,15,10,2023-11-24,Cure
351,-27.6166961111111,-48.5167313888889,0,1,19,17,2023-11-24,Cure
352,-27.6166955555556,-48.5167319444444,0,6,13,7,2023-11-24,Cure
353,-27.6166927777778,-48.5167294444444,0,1,4,4,2023-11-24,Cure
354,-27.6167436111111,-48.5001875,1,1,0,0,2023-11-30,Cure
355,-27.6167419444444,-48.5001972222222,1,0,1,0,2023-11-30,Cure
356,-27.6167569444444,-48.5001719444444,2,0,0,0,2023-11-30,Cure
357,-27.6167563888889,-48.500165,0,4,0,0,2023-11-30,Cure
358,-27.6167558333333,-48.5001611111111,3,1,0,0,2023-11-30,Cure
359,-27.616755,-48.5001616666667,3,2,0,0,2023-11-30,Cure
360,-27.6167588888889,-48.5001644444444,3,1,3,1,2023-11-30,Cure
361,-27.6167641666667,-48.5001686111111,0,1,0,0,2023-11-30,Cure
362,-27.6167913888889,-48.5001566666667,1,0,0,0,2023-11-30,Cure
363,-27.6167802777778,-48.5001458333333,1,0,1,0,2023-11-30,Cure
364,-27.6167744444444,-48.500155,0,1,0,0,2023-11-30,Cure
365,-27.6167741666667,-48.5001555555556,0,0,1,1,2023-11-30,Cure
366,-27.6167716666667,-48.5001330555556,3,3,3,3,2023-11-30,Cure
367,-27.6167697222222,-48.5001341666667,3,4,5,4,2023-11-30,Cure
368,-27.6167661111111,-48.5001363888889,2,4,8,5,2023-11-30,Cure
369,-27.6167616666667,-48.5001327777778,3,2,2,2,2023-11-30,Cure
370,-27.6167583333333,-48.5001302777778,18,3,3,3,2023-11-30,Cure
371,-27.6167597222222,-48.5001316666667,3,5,10,7,2023-11-30,Cure
372,-27.6167558333333,-48.50013,0,3,6,6,2023-11-30,Cure
373,-27.6167544444444,-48.5001291666667,4,5,12,10,2023-11-30,Cure
374,-27.6167558333333,-48.5001311111111,3,4,10,8,2023-11-30,Cure
375,-27.6167572222222,-48.5001291666667,2,9,17,16,2023-11-30,Cure
376,-27.6167569444444,-48.5001311111111,2,4,15,10,2023-11-30,Cure
377,-27.6166719444444,-48.5167363888889,2,0,0,0,2023-11-06,Cure
378,-27.6202666666667,-48.5167411111111,0,0,1,1,2023-11-06,Cure
379,-27.6202658333333,-48.5167458333333,0,0,7,5,2023-11-06,Cure
380,-27.6202697222222,-48.5167575,0,0,6,5,2023-11-06,Cure
381,-27.6202658333333,-48.5167561111111,2,1,7,5,2023-11-06,Cure
382,-27.6202688888889,-48.5167491666667,0,0,2,2,2023-11-06,Cure
383,-27.6202705555556,-48.5167475,0,0,3,3,2023-11-06,Cure
384,-27.6202611111111,-48.5167469444444,1,0,1,1,2023-11-06,Cure
385,-27.6202586111111,-48.5167497222222,2,0,5,5,2023-11-06,Cure
386,-27.6202605555556,-48.5167530555556,1,0,7,0,2023-11-06,Cure
387,-27.6202583333333,-48.5167572222222,1,2,4,4,2023-11-06,Cure
388,-27.6202569444444,-48.5167552777778,7,4,0,0,2023-11-06,Cure
389,-27.6202541666667,-48.51675,0,1,2,2,2023-11-06,Cure
390,-27.6202577777778,-48.5167444444444,0,1,0,0,2023-11-06,Cure
391,-27.6167141666667,-48.5002430555556,0,0,1,0,2023-11-06,Cure
392,-27.6167102777778,-48.5002427777778,0,1,0,0,2023-11-06,Cure
393,-27.6167561111111,-48.5001330555556,0,1,3,3,2023-11-08,Cure
394,-27.6167466666667,-48.5001236111111,0,2,1,0,2023-11-08,Cure
395,-27.6167419444444,-48.5001211111111,0,2,2,2,2023-11-08,Cure
396,-27.6167533333333,-48.5001141666667,0,0,2,0,2023-11-08,Cure
397,-27.6167525,-48.5001183333333,8,9,12,15,2023-11-08,Cure
398,-27.6167536111111,-48.5001177777778,1,2,3,4,2023-11-08,Cure
417,-27.61676,-48.5001166666667,7,10,12,16,2023-11-08,Cure
418,-27.6167552777778,-48.5001063888889,28,3,0,0,2023-11-08,Cure
419,-27.6167469444444,-48.5001061111111,15,6,9,14,2023-11-08,Cure
420,-27.6167513888889,-48.5001127777778,0,0,2,2,2023-11-08,Cure
422,-27.6167325,-48.5001175,0,3,8,9,2023-11-08,Cure
423,-27.6167286111111,-48.5001166666667,0,0,4,4,2023-11-08,Cure
